preprocessing_mode,spatial_lag,temporal_lag,covariance,n_terms,observed_covariance,separable_covariance,residual
two_way_centered,adjacent,1,2.0948062580393725e-11,96248,2.0948062580393725e-11,1.8328306226686083e-12,1.9115231957725117e-11
two_way_centered,adjacent,2,1.673898010969325e-11,95794,1.673898010969325e-11,1.819600703130224e-12,1.4919379406563024e-11
two_way_centered,adjacent,3,1.8613260343814864e-11,95340,1.8613260343814864e-11,1.4502492418990014e-12,1.7163011101915862e-11
two_way_centered,adjacent,6,1.28285435288826e-11,93978,1.28285435288826e-11,1.438355520427141e-12,1.1390188008455459e-11
two_way_centered,adjacent,12,1.5160590074730605e-11,91254,1.5160590074730605e-11,8.530852720679e-13,1.4307504802662705e-11
two_way_centered,graph_distance_2,0,9.647763444484377e-12,171678,9.647763444484377e-12,1.3573781259634034e-11,-3.926017815149656e-12
two_way_centered,graph_distance_2,1,1.268765023068658e-11,170872,1.268765023068658e-11,1.2767850624919312e-12,1.1410865168194648e-11
two_way_centered,graph_distance_2,2,1.3294877856239556e-11,170066,1.3294877856239556e-11,1.2675688460911028e-12,1.2027309010148453e-11
two_way_centered,graph_distance_2,3,1.1152583084369185e-11,169260,1.1152583084369185e-11,1.0102715144789942e-12,1.0142311569890191e-11
two_way_centered,graph_distance_2,6,1.0186146207036956e-11,166842,1.0186146207036956e-11,1.0019861193503375e-12,9.184160087686618e-12
two_way_centered,graph_distance_2,12,7.371187186803105e-12,162006,7.371187186803105e-12,5.942756078694665e-13,6.7769115789336386e-12
two_way_centered,graph_distance_3_plus,0,-9.32692006877202e-12,1362348,-9.32692006877202e-12,-1.0238277071537491e-11,9.113570027654713e-13
two_way_centered,graph_distance_3_plus,1,-3.743101786892358e-12,1355952,-3.743101786892358e-12,-9.63038889499914e-13,-2.7800628973924442e-12
two_way_centered,graph_distance_3_plus,2,-3.5180064440586075e-12,1349556,-3.5180064440586075e-12,-9.56087386800844e-13,-2.5619190572577634e-12
two_way_centered,graph_distance_3_plus,3,-3.2451929484799893e-12,1343160,-3.2451929484799893e-12,-7.62016087107375e-13,-2.4831768613726144e-12
two_way_centered,graph_distance_3_plus,6,-2.711902986206077e-12,1323972,-2.711902986206077e-12,-7.557666736718856e-13,-1.9561363125341916e-12
two_way_centered,graph_distance_3_plus,12,-2.307489793883016e-12,1285596,-2.307489793883016e-12,-4.4824343444503144e-13,-1.8592463594379847e-12
