replicate,null_type,max_t_M_t,mean_t_M_t,sum_t_M_t,lag1_autocorrelation_M_t,mean_restructuring_R_t,bottleneck_path_length,n_nontrivial_vines,top_vine_mean_persistence,top_vine_max_persistence,top_vine_distance_from_diagonal,max_vine_mean_persistence,max_vine_max_persistence,max_vine_duration_positive,sum_top25_mean_persistence,sum_top25_max_persistence,sum_top25_distance_from_diagonal,sum_top25_duration_positive,duration_weighted_mean_persistence,vineyard_success
37,separable_gaussian_matrix_normal_tda,8.458262375462152e-09,3.4208465142431737e-09,7.28640307533796e-07,0.5358287168408735,9.9037666909513e-10,2.0995985384816758e-07,25,2.328177155513208e-09,8.458262375462152e-09,3.6805726862361177e-07,2.328177155513208e-09,8.458262375462152e-09,486.0,1.3067646791244784e-08,7.818626941497211e-08,1.8970570809445533e-06,4987.0,6.464493808216697e-10,True
38,separable_gaussian_matrix_normal_tda,9.484046354242728e-09,3.918514744013615e-09,8.346436404749e-07,0.47909471923449204,1.1950770258100088e-09,2.5335632947172187e-07,25,2.7713706258106e-09,7.583107680123206e-09,4.34408721240983e-07,2.7713706258106e-09,7.583107680123206e-09,376.0,1.5465848409454945e-08,8.713603565117515e-08,2.2346014489465453e-06,5221.0,7.284639643246304e-10,True
39,separable_gaussian_matrix_normal_tda,1.007026410302688e-08,4.079843259742786e-09,8.690066143252135e-07,0.5075107212700156,1.1620327240334752e-09,2.4635093749509673e-07,25,2.8701116258014952e-09,7.620895570256313e-09,4.4793784344486047e-07,2.8701116258014952e-09,7.620895570256313e-09,460.0,1.4576862702622349e-08,8.426007007229933e-08,2.166056579521017e-06,4641.0,6.960150721391705e-10,True
40,separable_gaussian_matrix_normal_tda,7.324157485503516e-09,3.390758233770792e-09,7.222315037931787e-07,0.43543098555395454,9.878021881799498e-10,2.0941406389414936e-07,25,2.112661453226414e-09,5.348324948762756e-09,3.239122224183316e-07,2.112661453226414e-09,5.348324948762756e-09,385.0,1.2068889150488616e-08,6.848923060442312e-08,1.7180612909930982e-06,4823.0,5.53218180093308e-10,True
41,separable_gaussian_matrix_normal_tda,1.2699049847082238e-08,3.7230515588982424e-09,7.930099820453257e-07,0.3610963302326348,1.1224337304363122e-09,2.379559508524982e-07,25,2.695399235038003e-09,1.0074704296835714e-08,4.1123409601279633e-07,2.695399235038003e-09,1.0074704296835714e-08,405.0,1.227517258828422e-08,8.320062755211607e-08,1.841083442031508e-06,4427.0,6.168551700249275e-10,True
42,separable_gaussian_matrix_normal_tda,7.552433750868782e-09,3.4958633458697617e-09,7.446188926702592e-07,0.4583454446755673,1.0024524882679565e-09,2.1251992751280677e-07,25,2.4571884697404203e-09,6.6788325200174335e-09,3.88563142102399e-07,2.4571884697404203e-09,6.6788325200174335e-09,449.0,1.3753852030932466e-08,7.667698405033342e-08,2.0472940106894344e-06,4365.0,6.577601788197522e-10,True
43,separable_gaussian_matrix_normal_tda,1.3046486638044603e-08,3.8444741230623275e-09,8.188729882122757e-07,0.299824915557768,1.085988686414093e-09,2.3022960151978772e-07,25,3.055310057887256e-09,1.3046486638044603e-08,4.833076548549774e-07,3.055310057887256e-09,1.3046486638044603e-08,409.0,1.448415469117968e-08,8.207456366278183e-08,2.0807948256045395e-06,5105.0,7.142419866046969e-10,True
44,separable_gaussian_matrix_normal_tda,1.1061425110097224e-08,3.3592727918130053e-09,7.155251046561701e-07,0.40111789392696134,9.055237052114592e-10,1.9197102550482934e-07,25,2.1118631420729747e-09,8.941136984286703e-09,3.2619916192120833e-07,2.1118631420729747e-09,8.941136984286703e-09,408.0,1.2143443067795328e-08,7.828044061585449e-08,1.7286577959643796e-06,4582.0,5.533905597031129e-10,True
45,separable_gaussian_matrix_normal_tda,8.897378723812474e-09,3.544516646527372e-09,7.549820457103303e-07,0.4256493658417504,1.027927665033847e-09,2.179206649871756e-07,25,2.6141590311127577e-09,8.167507762250543e-09,4.0868448036999567e-07,2.6141590311127577e-09,8.167507762250543e-09,432.0,1.2995795977583591e-08,8.180188702516031e-08,1.8640502341850576e-06,4881.0,6.50372589361177e-10,True
46,separable_gaussian_matrix_normal_tda,8.628271024274657e-09,3.547692644185033e-09,7.556585332114121e-07,0.5466870663532049,9.79287548655967e-10,2.07608960315065e-07,25,2.7112300376738843e-09,7.009215452946912e-09,4.2500656937481945e-07,2.7112300376738843e-09,7.009215452946912e-09,384.0,1.3694545335337197e-08,7.682054545256637e-08,1.994522206728562e-06,4920.0,6.592374689878191e-10,True
47,separable_gaussian_matrix_normal_tda,1.0531076285693037e-08,3.903313123792806e-09,8.314056953678677e-07,0.39830484465068206,1.1705733737042725e-09,2.481615552253058e-07,25,2.6095597165314917e-09,9.13998273278139e-09,3.9847837037932213e-07,2.6095597165314917e-09,9.13998273278139e-09,390.0,1.3839930727746895e-08,8.087660935641409e-08,1.9960904440724576e-06,4822.0,6.667529255424854e-10,True
48,separable_gaussian_matrix_normal_tda,8.830930353886526e-09,3.6371312877833255e-09,7.747089642978483e-07,0.2960268680231665,1.1227499185748087e-09,2.3802298273785943e-07,25,2.8563258012080163e-09,7.421991724629246e-09,4.5963251516117265e-07,2.8563258012080163e-09,7.421991724629246e-09,393.0,1.3118169626386692e-08,7.399122986642837e-08,1.951431775022126e-06,4187.0,6.983901777684518e-10,True
49,separable_gaussian_matrix_normal_tda,1.278910953736892e-08,4.0512265741482935e-09,8.629112602935865e-07,0.5812362277382531,1.2032145859596446e-09,2.5508149222344464e-07,25,3.3846067991793406e-09,1.278910953736892e-08,5.615314541831628e-07,3.3846067991793406e-09,1.278910953736892e-08,366.0,1.2753073060266077e-08,7.442365016998517e-08,1.9541472262450137e-06,4356.0,6.733962736819908e-10,True
