month_index,month_label,year,month,date,M_t_max_h1_persistence,Tot_t_total_h1_persistence,N_h1,N_sig_t,A_t,R_t_bottleneck_to_previous,h1_threshold
90,2014_7,2014,7,2014-07-01,0.0001402327864254,0.00021886294528728118,5,0,False,9.385550573299997e-06,0.00017490356387223999
91,2014_8,2014,8,2014-08-01,0.0001070778455937,0.0001955857132419815,8,0,False,3.315494083169998e-05,0.00017490356387223999
92,2014_9,2014,9,2014-09-01,0.0001041341247526,0.00026060095600364505,10,0,False,8.953673692315957e-06,0.00017490356387223999
93,2014_10,2014,10,2014-10-01,9.057853806239568e-05,0.0002413311950609882,13,0,False,1.3555586690204327e-05,0.00017490356387223999
94,2014_11,2014,11,2014-11-01,0.0001402327864254,0.0002349518730191574,8,0,False,4.965424836300431e-05,0.00017490356387223999
95,2014_12,2014,12,2014-12-01,0.0001135589370883,0.00024075732633510388,9,0,False,2.6673849337099993e-05,0.00017490356387223999
96,2015_1,2015,1,2015-01-01,0.0001281435207432,0.0003188720014365993,13,0,False,1.4584583654899999e-05,0.00017490356387223999
97,2015_2,2015,2,2015-02-01,0.0001002004008016,0.0002045668151444168,7,0,False,2.79431199416e-05,0.00017490356387223999
98,2015_3,2015,3,2015-03-01,7.240343192267313e-05,0.00017319686244719382,8,0,False,2.7796968878926866e-05,0.00017490356387223999
99,2015_4,2015,4,2015-04-01,0.0001037048559798,0.00023109449864221248,9,0,False,3.1301424057126874e-05,0.00017490356387223999
100,2015_5,2015,5,2015-05-01,9.49480342105071e-05,0.00022098500856042164,10,0,False,8.756821769292908e-06,0.00017490356387223999
101,2015_6,2015,6,2015-06-01,9.55201069825198e-05,0.0002630973624211286,12,0,False,7.70994331631847e-06,0.00017490356387223999
102,2015_7,2015,7,2015-07-01,0.0001002004008016,0.0001977526822111658,6,0,False,9.847498505686813e-06,0.00017490356387223999
103,2015_8,2015,8,2015-08-01,0.0002093802345058,0.00032155809196201266,8,1,True,0.00010469011725289999,0.00017490356387223999
104,2015_9,2015,9,2015-09-01,0.0001323714342444,0.0002247049964238009,8,0,False,7.70088002614e-05,0.00017490356387223999
105,2015_10,2015,10,2015-10-01,9.129293620906084e-05,0.00030291832901243985,13,0,False,4.107849803533917e-05,0.00017490356387223999
106,2015_11,2015,11,2015-11-01,7.753440589261485e-05,0.00023243120354111808,10,0,False,1.9411901819426157e-05,0.00017490356387223999
107,2015_12,2015,12,2015-12-01,0.0002776717226059,0.00039575169767076606,8,1,True,0.00013883586130295,0.00017490356387223999
108,2016_1,2016,1,2016-01-01,0.0001749628204006,0.00042070333081882516,13,1,True,0.00010270890220529999,0.00017490356387223999
109,2016_2,2016,2,2016-02-01,9.19648956855326e-05,0.00022947547352725146,8,0,False,8.29979247150674e-05,0.00017490356387223999
110,2016_3,2016,3,2016-03-01,0.000123325851565,0.0002923340471380439,10,0,False,3.13609558794674e-05,0.00017490356387223999
111,2016_4,2016,4,2016-04-01,0.0001212356335774,0.0003011804741284671,14,0,False,1.2918316175499624e-05,0.00017490356387223999
112,2016_5,2016,5,2016-05-01,9.88549303896532e-05,0.00013738617382516496,5,0,False,2.23807031877468e-05,0.00017490356387223999
113,2016_6,2016,6,2016-06-01,9.29584011155008e-05,0.00016577573613071466,8,0,False,8.619683907357883e-06,0.00017490356387223999
114,2016_7,2016,7,2016-07-01,0.0001051441789553,0.00041720704779662945,15,0,False,2.3837902264600716e-05,0.00017490356387223999
115,2016_8,2016,8,2016-08-01,8.88946356128073e-05,0.00022549002572276177,10,0,False,2.3562996159579293e-05,0.00017490356387223999
116,2016_9,2016,9,2016-09-01,0.0001344550727978,0.0003411196876507618,10,0,False,4.556043718499271e-05,0.00017490356387223999
117,2016_10,2016,10,2016-10-01,8.88946356128073e-05,0.00023179536304132188,9,0,False,4.556043718499271e-05,0.00017490356387223999
118,2016_11,2016,11,2016-11-01,0.000100642434205,0.0002218456667195542,10,0,False,1.1747798592192708e-05,0.00017490356387223999
119,2016_12,2016,12,2016-12-01,0.0001328771218815,0.000269415126481274,11,0,False,3.22346876765e-05,0.00017490356387223999
120,2017_1,2017,1,2017-01-01,0.0002418964683115,0.0003996968587966854,6,1,True,0.00010901934643,0.00017490356387223999
121,2017_2,2017,2,2017-02-01,0.0002764531066417,0.0005360190225307396,13,1,True,3.455663833019999e-05,0.00017490356387223999
122,2017_3,2017,3,2017-03-01,0.0001152759899325,0.0003179724481131898,12,0,False,0.00013822655332085,0.00017490356387223999
123,2017_4,2017,4,2017-04-01,0.000181021686398,0.00031866980139469956,10,1,True,6.574569646549999e-05,0.00017490356387223999
124,2017_5,2017,5,2017-05-01,0.0001474447268913,0.0004363340285029391,13,0,False,3.357695950670001e-05,0.00017490356387223999
125,2017_6,2017,6,2017-06-01,0.0001039906408423,0.0002506406127247253,9,0,False,4.345408604899999e-05,0.00017490356387223999
126,2017_7,2017,7,2017-07-01,0.0001445452245871,0.0002987283695525971,8,0,False,4.0554583744799994e-05,0.00017490356387223999
127,2017_8,2017,8,2017-08-01,0.0001191286589516,0.00024652782742713616,9,0,False,2.5416565635499988e-05,0.00017490356387223999
128,2017_9,2017,9,2017-09-01,0.0001324288930415,0.00033387246193352694,11,0,False,1.3300234089899982e-05,0.00017490356387223999
129,2017_10,2017,10,2017-10-01,0.0001895959236876,0.00029136256808686,10,1,True,5.71670306461e-05,0.00017490356387223999
130,2017_11,2017,11,2017-11-01,0.0001350712500844,0.00033423348407420506,12,0,False,5.452467360319999e-05,0.00017490356387223999
131,2017_12,2017,12,2017-12-01,0.0001188608377311,0.00029964506858715567,13,0,False,1.6210412353300006e-05,0.00017490356387223999
132,2018_1,2018,1,2018-01-01,0.0001224469804574,0.00030214686814031825,13,0,False,4.474210439906562e-06,0.00017490356387223999
133,2018_2,2018,2,2018-02-01,0.0001460867024579,0.00037577691757280965,13,0,False,2.3639722000500017e-05,0.00017490356387223999
134,2018_3,2018,3,2018-03-01,0.0002266237592349,0.0004636519635028773,13,1,True,8.0537056777e-05,0.00017490356387223999
135,2018_4,2018,4,2018-04-01,0.0001191043353978,0.0002885184490329148,10,0,False,0.0001075194238371,0.00017490356387223999
136,2018_5,2018,5,2018-05-01,8.841732979664014e-05,0.0003563813267118477,11,0,False,3.231686035238304e-05,0.00017490356387223999
137,2018_6,2018,6,2018-06-01,0.0002120590938008,0.0003361292986979985,10,1,True,0.00010602954690039999,0.00017490356387223999
138,2018_7,2018,7,2018-07-01,0.000135800373451,0.0002852783630814311,8,0,False,7.625872034980002e-05,0.00017490356387223999
139,2018_8,2018,8,2018-08-01,9.137009456804788e-05,0.0002872633609778917,11,0,False,4.443027888295211e-05,0.00017490356387223999
140,2018_9,2018,9,2018-09-01,0.0001095650268434,0.00027554092622818053,11,0,False,2.2222866624562394e-05,0.00017490356387223999
141,2018_10,2018,10,2018-10-01,7.356727727506805e-05,0.00022576836373406234,10,0,False,3.599774956833195e-05,0.00017490356387223999
142,2018_11,2018,11,2018-11-01,9.137009456804788e-05,0.0002051310421269585,8,0,False,1.7802817292979825e-05,0.00017490356387223999
143,2018_12,2018,12,2018-12-01,0.0001085030200007,0.00032733718302210005,12,0,False,1.7132925432652125e-05,0.00017490356387223999
144,2019_1,2019,1,2019-01-01,0.0001365700433609,0.0003013606860827636,13,0,False,2.8067023360199992e-05,0.00017490356387223999
145,2019_2,2019,2,2019-02-01,0.000145211645974,0.0002470800548579866,8,0,False,1.0753523679344287e-05,0.00017490356387223999
146,2019_3,2019,3,2019-03-01,0.0001555330896648,0.00028603698534707307,9,0,False,1.1632789454323646e-05,0.00017490356387223999
147,2019_4,2019,4,2019-04-01,0.000174370255117,0.00027815006233423723,8,0,False,1.883716545220002e-05,0.00017490356387223999
148,2019_5,2019,5,2019-05-01,0.0001340183158364,0.0004214334410483297,12,0,False,4.610561258990593e-05,0.00017490356387223999
149,2019_6,2019,6,2019-06-01,0.0001470966792924,0.00033984637321401035,12,0,False,3.0737075059937284e-05,0.00017490356387223999
150,2019_7,2019,7,2019-07-01,0.0001024275325207,0.0002505577701123356,11,0,False,4.466914677169999e-05,0.00017490356387223999
151,2019_8,2019,8,2019-08-01,0.0001040654918828,0.00022943272536303397,10,0,False,7.723462231429524e-06,0.00017490356387223999
152,2019_9,2019,9,2019-09-01,0.0001024275325207,0.00028591383599943385,11,0,False,1.0902193448051877e-05,0.00017490356387223999
153,2019_10,2019,10,2019-10-01,7.651251327376178e-05,0.0002560831539423587,13,0,False,2.5915019246938216e-05,0.00017490356387223999
154,2019_11,2019,11,2019-11-01,0.0001365700433609,0.00037944204793050745,11,0,False,6.005753008713822e-05,0.00017490356387223999
155,2019_12,2019,12,2019-12-01,0.0001192016892582,0.0002709343281401802,11,0,False,1.7368354102700003e-05,0.00017490356387223999
156,2020_1,2020,1,2020-01-01,0.0001144872117784,0.00041088542067354184,15,0,False,3.732455307459708e-05,0.00017490356387223999
157,2020_2,2020,2,2020-02-01,0.0002707703416219,0.00045686674306618784,10,1,True,0.00013538517081094998,0.00017490356387223999
158,2020_3,2020,3,2020-03-01,0.0001562377939223,0.0004308817582973724,12,0,False,0.00011453254769960004,0.00017490356387223999
159,2020_4,2020,4,2020-04-01,0.0001380167000207,0.00047712558968817753,16,0,False,1.8221093901599997e-05,0.00017490356387223999
160,2020_5,2020,5,2020-05-01,0.0002216312056737,0.0004745695016742151,13,1,True,8.3614505653e-05,0.00017490356387223999
161,2020_6,2020,6,2020-06-01,0.000148954609468,0.00038227286032209277,12,0,False,7.26765962057e-05,0.00017490356387223999
162,2020_7,2020,7,2020-07-01,0.0001562377939223,0.0004701517247797044,14,0,False,1.8899606361380333e-05,0.00017490356387223999
163,2020_8,2020,8,2020-08-01,0.0001457725947521,0.0004446916391535513,15,0,False,1.0465199170199975e-05,0.00017490356387223999
164,2020_9,2020,9,2020-09-01,0.0001477541371158,0.00038378786112635237,12,0,False,1.341586874793277e-05,0.00017490356387223999
165,2020_10,2020,10,2020-10-01,0.0001562377939223,0.00047593250150441654,12,0,False,1.341586874793277e-05,0.00017490356387223999
