month_index,month_label,year,month,rank,observed_birth,observed_death,observed_persistence,fitted_birth,fitted_death,fitted_persistence,radius_median_monthwise,radius_90_monthwise,radius_95_monthwise,radius_99_monthwise,observed_persistence_over_radius95,fitted_persistence_over_radius95,observed_persistence_over_2radius95,fitted_persistence_over_2radius95
5,2007_6,2007,6,7,0.0,9.370578258384324e-06,9.370578258384324e-06,7.915427097590667e-06,1.3005877991524494e-05,5.090450893933827e-06,1.191499822648333e-05,2.1904837852703892e-05,2.5744299613456196e-05,3.6845232229556566e-05,0.3639865290212227,0.1977311859466208,0.1819932645106113,0.0988655929733104
5,2007_6,2007,6,8,1.1636160532470706e-05,2.003767082114375e-05,8.401510288673043e-06,9.454565889749773e-06,1.4481237248920609e-05,5.026671359170836e-06,9.87633186568175e-06,1.992795688775271e-05,2.289053251622446e-05,3.1135918498516786e-05,0.3670299187106364,0.2195960865308838,0.1835149593553182,0.1097980432654419
5,2007_6,2007,6,9,0.0,7.874325760856727e-06,7.874325760856727e-06,1.875536388287237e-05,2.159043117856031e-05,2.835067295687939e-06,1.0615905179257428e-05,1.875536388287237e-05,1.875536388287237e-05,2.244072452551179e-05,0.4198439342489994,0.1511603460958151,0.2099219671244997,0.0755801730479075
5,2007_6,2007,6,10,3.875017760498069e-05,4.561523548865321e-05,6.865057883672522e-06,1.0155975202217668e-05,1.2475400718228e-05,2.319425516010332e-06,1.0155975202217668e-05,1.864622258564353e-05,2.2117099627697e-05,3.247852151148654e-05,0.3103959379499961,0.1048702386413153,0.155197968974998,0.0524351193206576
6,2007_7,2007,7,1,0.0,6.98202129516495e-05,6.98202129516495e-05,1.7141471468129466e-06,5.262271373951877e-05,5.0908566592705826e-05,3.5420955920632665e-05,9.480467826988124e-05,9.945888846189116e-05,0.0001685183742745,0.7020007364993016,0.5118553744164559,0.3510003682496508,0.2559276872082279
6,2007_7,2007,7,2,1.2317167051578138e-05,6.657124787804147e-05,5.425408082646333e-05,7.145256728226572e-06,3.554898044997887e-05,2.8403723721752295e-05,3.213749579206798e-05,5.249468921017257e-05,5.496513975277275e-05,9.651652404022112e-05,0.987063456410596,0.5167588738882347,0.493531728205298,0.2583794369441173
6,2007_7,2007,7,3,2.5833451736653792e-05,6.798558705554423e-05,4.215213531889044e-05,8.255993802893048e-06,2.457333939850499e-05,1.6317345595611946e-05,2.609805659845472e-05,4.524699542682523e-05,4.9155542744270926e-05,6.34889720096392e-05,0.8575255803436992,0.3319533196999178,0.4287627901718496,0.1659766598499589
6,2007_7,2007,7,4,0.0,4.058112166220274e-05,4.058112166220274e-05,1.5036184833715483e-05,2.739258673662445e-05,1.2356401902908963e-05,1.7975832367366452e-05,3.618853871156515e-05,4.00510762528211e-05,4.632110926809322e-05,1.0132342363544926,0.3085161014128455,0.5066171181772463,0.1542580507064227
6,2007_7,2007,7,5,0.0,3.2665098741927056e-05,3.2665098741927056e-05,9.08539206810062e-06,2.127870792590298e-05,1.219331585780236e-05,1.680444028101546e-05,3.250786694500924e-05,3.915906386622679e-05,4.854150502574652e-05,0.8341644441122472,0.3113791458206597,0.4170822220561236,0.1556895729103298
6,2007_7,2007,7,6,0.0,2.5560412033841985e-05,2.5560412033841985e-05,9.946806118739244e-06,2.0995087359839734e-05,1.1048281241100492e-05,1.272767254554472e-05,2.697804768453541e-05,3.2791487511072484e-05,4.585237455750886e-05,0.7794831516932914,0.336925283958829,0.3897415758466457,0.1684626419794145
6,2007_7,2007,7,7,3.8416030241099006e-06,2.852497361439941e-05,2.4683370590289505e-05,9.546814820078864e-06,2.0115959679851272e-05,1.0569144859772408e-05,9.546814820078864e-06,2.4837962549863267e-05,2.785717536452387e-05,4.4448071698267974e-05,0.8860686795160068,0.3794047573549836,0.4430343397580034,0.1897023786774918
6,2007_7,2007,7,8,2.362297728257018e-05,4.402183483007572e-05,2.039885754750554e-05,1.0751421091411204e-05,2.0221521155816427e-05,9.470100064405224e-06,1.0751421091411204e-05,2.0359600506386315e-05,2.5393714332836784e-05,3.598667399903715e-05,0.8033034191113838,0.3729308733759902,0.4016517095556919,0.1864654366879951
6,2007_7,2007,7,9,8.3058318013688e-06,2.058184886748377e-05,1.2276017066114966e-05,1.0142079605994504e-05,1.7571794302075165e-05,7.429714696080662e-06,9.91256251816798e-06,1.9780663489647528e-05,2.645004052800055e-05,3.694532709717476e-05,0.4641209170594397,0.2808961554601556,0.2320604585297198,0.1404480777300778
6,2007_7,2007,7,10,5.306771174680333e-06,1.6535758577924763e-05,1.1228987403244427e-05,1.4050719446705267e-05,1.8175196750847092e-05,4.1244773041418246e-06,7.881116427661015e-06,1.6735519093381294e-05,2.240592491135565e-05,3.260233419171083e-05,0.5011615207883435,0.1840797610658544,0.2505807603941717,0.0920398805329272
7,2007_8,2007,8,1,0.0,8.470269354565475e-05,8.470269354565475e-05,8.799993639782892e-07,2.7479108491327933e-05,2.6599109127349644e-05,4.26028874439163e-05,7.725121093607207e-05,0.0001043166081478,0.000119948283518,0.8119770672143215,0.2549844133126392,0.4059885336071607,0.1274922066563196
7,2007_8,2007,8,2,0.0,6.842753524018066e-05,6.842753524018066e-05,1.063048970531972e-05,1.9172874177846263e-05,8.542384472526545e-06,3.807302558458325e-05,5.090912175739797e-05,5.454082182687141e-05,7.771814033859978e-05,1.2546113708625397,0.1566236845429755,0.6273056854312697,0.0783118422714877
7,2007_8,2007,8,3,1.0290924433741885e-05,6.224324660774306e-05,5.195232217400118e-05,1.016580768342035e-05,1.793021825169646e-05,7.764410568276109e-06,2.9061158830608935e-05,4.870523835110977e-05,5.049731698848419e-05,5.755406528757965e-05,1.0288135147031434,0.1537588733683963,0.5144067573515717,0.0768794366841981
7,2007_8,2007,8,4,1.3384730699218332e-05,3.487844860660598e-05,2.1493717907387647e-05,1.8973967595036435e-05,2.59340451796351e-05,6.960077584598666e-06,1.8973967595036435e-05,3.067400071062077e-05,3.695508129039823e-05,4.325667447742852e-05,0.5816173894595709,0.1883388519674844,0.2908086947297854,0.0941694259837422
7,2007_8,2007,8,5,1.5040534239776195e-05,3.3285623939020734e-05,1.824508969924454e-05,1.681896805816214e-05,2.355164579358857e-05,6.7326777354264304e-06,1.681896805816214e-05,2.5793300050333367e-05,3.095020726941557e-05,4.388179347995799e-05,0.5894981426271093,0.2175325572723882,0.2947490713135546,0.1087662786361941
7,2007_8,2007,8,6,1.0667576966567814e-05,2.7998656064508904e-05,1.7331079097941088e-05,8.141386309230438e-06,1.3084911303357871e-05,4.943524994127435e-06,1.9042054465360097e-05,3.32242486484806e-05,3.675684113265777e-05,5.2812947016246735e-05,0.4715062166357583,0.1344926506683732,0.2357531083178791,0.0672463253341866
7,2007_8,2007,8,7,3.017137340091721e-05,4.561523548865321e-05,1.5443862087736e-05,1.5301334268248136e-05,1.8620473575965303e-05,3.3191393077171664e-06,1.5301334268248136e-05,2.5401361254110417e-05,2.855823938874502e-05,4.172227322586912e-05,0.5407848109089849,0.1162235270366582,0.2703924054544924,0.0581117635183291
