month_index,month_label,year,month,landscape_summary,observed_value,fitted_mean_field_value,bootstrap_mean,bootstrap_sd,ci_2_5,ci_50,ci_97_5
6,2007_7,2007,7,landscape_total_tent_area_top10,3.5661284088632575e-09,1.0904332927108182e-09,5.606246991520934e-09,2.856806926621705e-09,2.196360737251376e-09,4.99506700364305e-09,1.395740370118846e-08
7,2007_8,2007,8,landscape_total_tent_area_top10,4.0513736509013855e-09,2.4731241996459943e-10,3.729562567056801e-09,1.6312877161449283e-09,1.6789084423205946e-09,3.4070473958517655e-09,8.492088316368451e-09
8,2007_9,2007,9,landscape_total_tent_area_top10,3.727632258750037e-09,5.599293443350722e-10,4.4083424524183846e-09,2.1255285987626546e-09,1.891619465379028e-09,3.959572644761573e-09,9.233097094665676e-09
9,2007_10,2007,10,landscape_total_tent_area_top10,2.9444464769020193e-09,1.6662107437409067e-09,6.803974777012093e-09,3.113090475597932e-09,2.905190258530833e-09,6.178104485405654e-09,1.4782862476007775e-08
10,2007_11,2007,11,landscape_total_tent_area_top10,4.752703814961808e-09,4.376261636921841e-10,3.977245551467206e-09,1.6602908008328932e-09,1.695697278578735e-09,3.6451998584309566e-09,8.275199781423446e-09
11,2007_12,2007,12,landscape_total_tent_area_top10,1.2400100152628345e-08,4.141179637639466e-09,9.633830756295715e-09,5.238455880417724e-09,3.1060203193524613e-09,8.60514421393832e-09,2.3418577082226557e-08
12,2008_1,2008,1,landscape_total_tent_area_top10,2.282217651867492e-09,3.901847045708651e-10,3.809457271836389e-09,1.743730985107581e-09,1.6070384070587985e-09,3.4635860151281826e-09,7.860299873125445e-09
13,2008_2,2008,2,landscape_total_tent_area_top10,9.289653740565888e-09,2.7849483396850816e-09,9.455312236817812e-09,4.515355817155987e-09,3.834853521273384e-09,8.683288936192447e-09,2.0009229049911434e-08
14,2008_3,2008,3,landscape_total_tent_area_top10,3.183992902570627e-09,5.81318868307943e-10,4.5792411039106675e-09,2.0333843509431373e-09,1.979774994382369e-09,4.065101209636026e-09,9.746684694111984e-09
15,2008_4,2008,4,landscape_total_tent_area_top10,4.159168365193216e-09,4.081948336306256e-10,4.73695096312085e-09,2.1930370464341737e-09,2.0834384503287397e-09,4.253793339697294e-09,9.845254795326764e-09
16,2008_5,2008,5,landscape_total_tent_area_top10,5.44356721532082e-09,1.3218505476981887e-09,6.405647796202895e-09,2.8100687430946855e-09,2.725877627850702e-09,5.817083269877714e-09,1.3304791087701095e-08
17,2008_6,2008,6,landscape_total_tent_area_top10,3.5041961211550246e-09,6.026205537304944e-10,3.973329579502422e-09,1.8567603254522695e-09,1.5066276223843787e-09,3.5535106946713913e-09,8.462926631023482e-09
18,2008_7,2008,7,landscape_total_tent_area_top10,3.820752125985011e-09,5.748588048672261e-10,5.184699912406454e-09,2.177607652401841e-09,2.203553952089374e-09,4.6943648401874395e-09,1.0255748863710707e-08
19,2008_8,2008,8,landscape_total_tent_area_top10,2.7593670478655812e-09,3.9789713051816344e-10,3.973316859947132e-09,1.7846345543632783e-09,1.6656578462481213e-09,3.6011456478250617e-09,8.653320241439349e-09
20,2008_9,2008,9,landscape_total_tent_area_top10,3.2418531641352868e-09,4.464298971033289e-10,3.87035450032692e-09,1.7602672037360662e-09,1.6180311588072974e-09,3.486776712242102e-09,8.187840067941034e-09
21,2008_10,2008,10,landscape_total_tent_area_top10,6.43195345328684e-09,4.756707645768235e-10,4.0354871151883885e-09,1.7869493571200172e-09,1.818515680046312e-09,3.64350737972178e-09,8.125270479011263e-09
22,2008_11,2008,11,landscape_total_tent_area_top10,2.6987095884941273e-09,4.661690443802619e-10,4.436737492867555e-09,1.9469404851172184e-09,1.9447069617246924e-09,3.955975629551569e-09,9.695238479994255e-09
23,2008_12,2008,12,landscape_total_tent_area_top10,4.580918741507806e-09,4.696372946468406e-10,4.643199326207449e-09,1.932408823933585e-09,2.134776680154848e-09,4.268812308065625e-09,9.25574311963706e-09
24,2009_1,2009,1,landscape_total_tent_area_top10,4.86185013997025e-09,1.2861606792010794e-09,6.030341587087217e-09,2.7075646103949735e-09,2.4034782260517625e-09,5.468671132698696e-09,1.2682148101365859e-08
25,2009_2,2009,2,landscape_total_tent_area_top10,3.5027073908480863e-09,7.156559054924825e-10,5.274941051351489e-09,2.355058851173978e-09,2.3146668497603663e-09,4.801741132472441e-09,1.0419704149616912e-08
26,2009_3,2009,3,landscape_total_tent_area_top10,2.6481544447391524e-09,1.039015536016213e-09,5.7797391265699105e-09,2.4966310828785874e-09,2.5841348759229397e-09,5.19115388261281e-09,1.2061676062357042e-08
27,2009_4,2009,4,landscape_total_tent_area_top10,3.050614255562097e-09,7.768881408125252e-10,5.391983597271647e-09,2.402151590143336e-09,2.218022680385429e-09,4.9118576305775756e-09,1.0778266307575925e-08
28,2009_5,2009,5,landscape_total_tent_area_top10,3.142184989141151e-09,4.0407600547007796e-10,4.213507225206056e-09,1.878102936953689e-09,1.7269049547838972e-09,3.830814141613887e-09,9.188537036972743e-09
29,2009_6,2009,6,landscape_total_tent_area_top10,2.2747833802386805e-09,3.5639464259275693e-10,3.506406395805784e-09,1.3912351115440726e-09,1.4465186875550132e-09,3.319881518718761e-09,7.023576340636406e-09
30,2009_7,2009,7,landscape_total_tent_area_top10,4.051373303802252e-09,3.578079169512683e-10,4.1899615776445026e-09,1.9168091526979603e-09,1.748839399871758e-09,3.772408017495213e-09,9.146298418580093e-09
31,2009_8,2009,8,landscape_total_tent_area_top10,3.181968483347211e-09,1.2211549830191527e-09,5.670992086965384e-09,2.667193239609496e-09,2.29197468007831e-09,5.019706381510204e-09,1.2447904201779121e-08
32,2009_9,2009,9,landscape_total_tent_area_top10,2.4041015739492268e-09,3.32460869638452e-10,3.802557033815815e-09,1.7514565935776155e-09,1.5992302823962892e-09,3.4675984031636046e-09,8.350081150490577e-09
33,2009_10,2009,10,landscape_total_tent_area_top10,4.98109532448714e-09,2.7183652755178316e-10,3.849831309925181e-09,1.728726356576826e-09,1.8473091162969272e-09,3.5579703244401133e-09,8.014667125189157e-09
34,2009_11,2009,11,landscape_total_tent_area_top10,3.1058869393063606e-09,2.6330365793852274e-10,3.0505423832036336e-09,1.1597951440238308e-09,1.3878739661550757e-09,2.8896905901277e-09,6.132360011246373e-09
35,2009_12,2009,12,landscape_total_tent_area_top10,2.784727509208357e-09,4.663846126938556e-10,4.500363576341684e-09,1.9865918343289405e-09,2.0297777021663237e-09,4.050328941963179e-09,9.413877543301416e-09
36,2010_1,2010,1,landscape_total_tent_area_top10,4.2097296191296e-09,4.858094388043133e-10,4.6193006994771124e-09,1.914944937879497e-09,2.064587046195939e-09,4.23791118843299e-09,9.542309361352747e-09
37,2010_2,2010,2,landscape_total_tent_area_top10,3.6865423731317467e-09,9.25566778243367e-10,4.445991202882438e-09,1.9566105021319795e-09,1.919943404118244e-09,4.060684227564812e-09,9.003783015847461e-09
38,2010_3,2010,3,landscape_total_tent_area_top10,9.113248925292821e-09,7.051323773658371e-10,4.4384300097251545e-09,1.983881095689526e-09,1.8459092851773164e-09,3.969484234615861e-09,9.487795580607111e-09
