grid_index,x,observed_lambda1,fitted_mean_lambda1,bootstrap_mean,bootstrap_sd,ci_2_5,ci_50,ci_97_5
44,0.00014049998195852048,9.759459722105796e-06,2.33897525570113e-06,1.1600736997634774e-05,1.4179674589391236e-06,8.983737897234489e-06,1.1550805668983848e-05,1.4398819639166326e-05
45,0.00014369316336666868,9.021608437570909e-06,2.2040520976103605e-06,1.0886056609156865e-05,1.4023841644130578e-06,8.318431992543356e-06,1.084745280974024e-05,1.366032201979157e-05
46,0.00014688634477481687,8.34280049718353e-06,2.0832066929483105e-06,1.023993455124195e-05,1.386881086935744e-06,7.73877724984837e-06,1.020111752346346e-05,1.2976583812407723e-05
47,0.00015007952618296505,7.78386191169682e-06,1.9853198293025103e-06,9.662797248146774e-06,1.3717094548674603e-06,7.151072627781386e-06,9.6588020411162e-06,1.2404561367670509e-05
48,0.00015327270759111326,7.291180947817379e-06,1.9100137895613087e-06,9.132160211631928e-06,1.3591308002280327e-06,6.6522327187278934e-06,9.126695955443354e-06,1.1806019676537374e-05
49,0.00015646588899926144,6.863580661474479e-06,1.8350564795108816e-06,8.646695574386358e-06,1.3456965210622604e-06,6.157027010892719e-06,8.642103936092537e-06,1.1336669761442897e-05
50,0.00015965907040740965,6.502512176643983e-06,1.7670429781966497e-06,8.190270136321262e-06,1.3249850778428852e-06,5.777694139774794e-06,8.181109742398686e-06,1.084162242216129e-05
51,0.00016285225181555783,6.154542244029903e-06,1.7070771301563085e-06,7.759802160341897e-06,1.299126232399746e-06,5.401901853892207e-06,7.766509648537541e-06,1.0399015733796695e-05
52,0.00016604543322370601,5.817424522591866e-06,1.647111282115967e-06,7.3446305848101005e-06,1.273754285838293e-06,5.003951477901852e-06,7.336495696038396e-06,9.954821583155302e-06
53,0.00016923861463185422,5.501735844447236e-06,1.5871454340756249e-06,6.943174358652998e-06,1.2498410864998386e-06,4.6814196692035664e-06,6.939863739543028e-06,9.519857083505372e-06
54,0.0001724317960400024,5.186915142235444e-06,1.5271795860352832e-06,6.561499921922715e-06,1.2279820149331975e-06,4.387238648363647e-06,6.5375621431515675e-06,9.113729542796539e-06
55,0.0001756249774481506,4.883065646543612e-06,1.4672137379949421e-06,6.2028800445045415e-06,1.2051599441253171e-06,4.068796194573702e-06,6.175734464554041e-06,8.707571879628215e-06
56,0.0001788181588562988,4.614168045217937e-06,1.4214462327287726e-06,5.866660763079667e-06,1.183106498591891e-06,3.7649928927589805e-06,5.8283933290134905e-06,8.330662227300139e-06
57,0.00018201134026444698,4.374351571387992e-06,1.3850123270517887e-06,5.56197830280984e-06,1.1620442471913502e-06,3.503788783059751e-06,5.526741161720663e-06,7.979450661169006e-06
58,0.0001852045216725952,4.168275844989965e-06,1.3550294030316176e-06,5.298485300453643e-06,1.1408576796149792e-06,3.2733638345361856e-06,5.25092071627502e-06,7.673994058260615e-06
59,0.00018839770308074337,3.973386838858856e-06,1.325046479011447e-06,5.0567316257279774e-06,1.1205886218907865e-06,3.065666912974117e-06,5.000610551210184e-06,7.385136174938027e-06
60,0.00019159088448889155,3.7911625207825956e-06,1.308347808125509e-06,4.818510177910985e-06,1.1010797186088319e-06,2.833368795189097e-06,4.752740648055056e-06,7.098224637379819e-06
61,0.00019478406589703976,3.6305015409399176e-06,1.2797677874296737e-06,4.585604320258797e-06,1.0819119552440838e-06,2.621646083595837e-06,4.515933679489267e-06,6.841818279662935e-06
62,0.00019797724730518794,3.480586920839064e-06,1.2497848634095029e-06,4.356428387954425e-06,1.0623582941599646e-06,2.410065823572499e-06,4.282735872573064e-06,6.561146527416895e-06
63,0.00020117042871333615,3.3306723007382087e-06,1.219801939389332e-06,4.126228476399181e-06,1.0422291132047543e-06,2.201465369506053e-06,4.0677689639245996e-06,6.306305066600818e-06
64,0.00020436361012148434,3.1807576806373554e-06,1.1898190153691612e-06,3.901592397791317e-06,1.0233775290934003e-06,2.0196996263002304e-06,3.8537071944706e-06,6.0802259358165054e-06
65,0.00020755679152963252,3.0308430605365015e-06,1.1598360913489905e-06,3.6916906098707358e-06,1.0054404379183902e-06,1.8555151268250659e-06,3.645248193436278e-06,5.82783827904656e-06
66,0.00021074997293778073,2.887359137299406e-06,1.1298531673288195e-06,3.4961312372200253e-06,9.858734944852835e-07,1.6614512689011498e-06,3.4510596668703262e-06,5.594403597887678e-06
67,0.0002139431543459289,2.7612813338806043e-06,1.0998702433086488e-06,3.310169828066573e-06,9.67403829977507e-07,1.5243981729114143e-06,3.2655738368370673e-06,5.379300238146366e-06
68,0.00021713633575407712,2.6413496377999205e-06,1.0698873192884778e-06,3.1338649591699616e-06,9.498072787804444e-07,1.371217255874998e-06,3.0829107972500414e-06,5.154428307995085e-06
69,0.0002203295171622253,2.5214179417192376e-06,1.0399043952683072e-06,2.9688743990049294e-06,9.337722093158018e-07,1.252075277306371e-06,2.9133422655244583e-06,4.929720621492128e-06
70,0.00022352269857037348,2.410366493979745e-06,1.0099214712481363e-06,2.8147472069773158e-06,9.19508520176348e-07,1.1506297429203508e-06,2.7632108403890045e-06,4.719170234943186e-06
71,0.0002267158799785217,2.3071104165281297e-06,9.799385472279655e-07,2.666613870886338e-06,9.060158024129666e-07,1.0357150131437843e-06,2.624079173076936e-06,4.561215542084796e-06
72,0.00022990906138666987,2.2321531064777024e-06,9.499556232077947e-07,2.530308225817531e-06,8.93226799115781e-07,9.175912624406515e-07,2.4950322570538326e-06,4.38084054907123e-06
73,0.00023310224279481808,2.157195796427275e-06,9.199726991876238e-07,2.4020097128106496e-06,8.820859097267945e-07,7.835907342996884e-07,2.3645033454431326e-06,4.225967405899231e-06
74,0.00023629542420296627,2.0822384863768486e-06,8.89989775167453e-07,2.2874542426366706e-06,8.714918342473916e-07,6.851930345642586e-07,2.23504997984156e-06,4.1165725779309956e-06
75,0.00023948860561111445,1.998442147145133e-06,8.600068511472823e-07,2.1896087300961885e-06,8.594494387522152e-07,6.303793931483628e-07,2.1391206508422143e-06,3.973210596756475e-06
76,0.00024268178701926266,1.9121803173745857e-06,8.300239271271113e-07,2.105038808407283e-06,8.461641210716693e-07,5.85286270628777e-07,2.051016092460529e-06,3.8766525086428546e-06
77,0.00024587496842741084,1.8372230073241588e-06,8.000410031069406e-07,2.0262435421990802e-06,8.311803537898445e-07,5.536424285822325e-07,1.964290539722858e-06,3.77387109891139e-06
78,0.000249068149835559,1.7622656972737319e-06,7.700580790867699e-07,1.9500207620609717e-06,8.169814416869778e-07,5.127247985060064e-07,1.892317721438713e-06,3.6917072748011535e-06
79,0.0002522613312437072,1.6873083872233052e-06,7.400751550665991e-07,1.8764535062495641e-06,8.038017265555287e-07,4.5600249350639796e-07,1.8179930258049445e-06,3.605793219153995e-06
