month_index,month_label,year,month,summary_statistic,observed_value,fitted_mean_field_value,bootstrap_mean,bootstrap_sd,ci_2_5,ci_50,ci_97_5
16,2008_5,2008,5,max_persistence_top10,0.000104580631667,5.648859026007486e-05,0.00010610208615093066,3.0643865174661024e-05,6.716217426345483e-05,0.000103451843167,0.0001743010527783
17,2008_6,2008,6,max_persistence_top10,6.824541049614414e-05,4.084759114140282e-05,8.033171151560085e-05,2.555901349579177e-05,4.5155900747330155e-05,6.972042111134351e-05,0.0001394408422226
18,2008_7,2008,7,max_persistence_top10,9.37734433608402e-05,4.202622802613013e-05,9.448525328365093e-05,2.6394032894561154e-05,6.306760847628658e-05,9.045953443492944e-05,0.0001525165226232
19,2008_8,2008,8,max_persistence_top10,6.824541049614414e-05,3.415934032938344e-05,7.969349839941282e-05,2.333603277168312e-05,4.685157421289355e-05,6.972042111134351e-05,0.0001394408422226
20,2008_9,2008,9,max_persistence_top10,6.43707756678468e-05,3.258796976733273e-05,7.730617777900862e-05,2.351400075381693e-05,4.675081813931744e-05,7.012622720897616e-05,0.0001486767766874
21,2008_10,2008,10,max_persistence_top10,0.0001486767766874,3.700500913746379e-05,8.278102047846467e-05,2.5556918481937625e-05,5.0547811911591875e-05,7.43383883437407e-05,0.0001486767766874
22,2008_11,2008,11,max_persistence_top10,6.306760847628658e-05,3.445287586405379e-05,8.566244258931208e-05,2.482314970500079e-05,5.083884087442806e-05,7.480550568521843e-05,0.0001486767766874
23,2008_12,2008,12,max_persistence_top10,6.864988558352403e-05,3.365253376433884e-05,8.6776534788072e-05,2.4315696474746836e-05,5.670112835245421e-05,7.582171786738781e-05,0.0001486767766874
24,2009_1,2009,1,max_persistence_top10,0.0001052631578947,5.650594518807528e-05,0.00010224698291930167,3.0780316065865924e-05,6.0395591121848105e-05,0.0001017345744951,0.0001788109074653
25,2009_2,2009,2,max_persistence_top10,7.421701053881549e-05,3.8928933642555666e-05,9.453755810323297e-05,3.0442638649858652e-05,5.6261944455803016e-05,8.83308627665567e-05,0.0001526018617427
26,2009_3,2009,3,max_persistence_top10,7.017543859649122e-05,4.939661381419393e-05,0.00010014278719853997,3.0256245866498293e-05,6.214074879602299e-05,9.107260763643817e-05,0.0001754385964912
