month_label,year,month,date,month_index,observed_n_h1,observed_max_h1,observed_total_h1,fitted_n_h1,fitted_max_h1,fitted_total_h1
2011_6,2011,6,2011-06-01,53,12.0,0.0001408897185727,0.000364950804824,14,3.000451607616007e-05,0.0001086359297059
2011_7,2011,7,2011-07-01,54,14.0,7.486150621350502e-05,0.0004103070727103,9,4.22546085238373e-05,8.806417234303004e-05
2011_8,2011,8,2011-08-01,55,12.0,0.0001336273134228,0.0004685758468875,10,3.3913502839175604e-05,7.84892566426602e-05
2011_9,2011,9,2011-09-01,56,17.0,0.000127199491202,0.0004795346815886,16,5.91679302466231e-05,0.0001643077147121
2011_10,2011,10,2011-10-01,57,11.0,0.0001908882667345,0.000443811690716,13,5.272726950578848e-05,0.0001527972845603
2011_11,2011,11,2011-11-01,58,16.0,0.0001938798591139,0.0005543085706717,15,5.924285793453926e-05,0.0001834668334844
2011_12,2011,12,2011-12-01,59,14.0,6.916585973163646e-05,0.0003824575348986,12,4.069731051683509e-05,0.0001379014562359
2012_1,2012,1,2012-01-01,60,13.0,7.586102260658473e-05,0.0003519892099222,15,4.48933274945754e-05,0.0001118961142001
2012_2,2012,2,2012-02-01,61,15.0,7.167602436984828e-05,0.0003224590200736,14,3.472507790021677e-05,0.0001128892627591
2012_3,2012,3,2012-03-01,62,16.0,7.115665136798663e-05,0.0004436321398573,15,3.160366523410333e-05,0.0001297700963213
2012_4,2012,4,2012-04-01,63,16.0,0.0001415177781708,0.0004597563489895,15,2.9214029639905342e-05,0.0001292718422511
2012_5,2012,5,2012-05-01,64,10.0,6.767120815663629e-05,0.0002808925243183,13,4.353750461806511e-05,0.000124884746912
2012_6,2012,6,2012-06-01,65,13.0,9.413315134257408e-05,0.0003962443292831,12,3.687364481965336e-05,0.0001753881775702
2012_7,2012,7,2012-07-01,66,17.0,7.272727272727273e-05,0.0003680932467862,14,4.369589619588457e-05,0.0001149968291262
2012_8,2012,8,2012-08-01,67,15.0,7.586102260658473e-05,0.0004385808782712,12,3.070947190611932e-05,0.0001036808122841
2012_9,2012,9,2012-09-01,68,16.0,0.0001517220452131,0.0003929659505876,15,3.33240309665352e-05,0.0001111943352254
2012_10,2012,10,2012-10-01,69,15.0,6.931688212664194e-05,0.0003937270057733,15,3.161527888853399e-05,0.0001045863321444
2012_11,2012,11,2012-11-01,70,17.0,0.000178616082592,0.000644734855191,15,4.693676712934782e-05,0.0001826236192824
2012_12,2012,12,2012-12-01,71,11.0,7.075888908544135e-05,0.0003472808069674,13,3.629483748110279e-05,9.084110463141888e-05
2013_1,2013,1,2013-01-01,72,12.0,0.0001359249694168,0.0004375383637717,16,4.132086924839616e-05,0.0001632457722296
2013_2,2013,2,2013-02-01,73,16.0,7.16110089991168e-05,0.0003913871742424,14,9.193649080293796e-05,0.0002774925290346
2013_3,2013,3,2013-03-01,74,14.0,0.0001297016861219,0.0005992778489116,10,3.962449090814604e-05,8.575224172732344e-05
2013_4,2013,4,2013-04-01,75,17.0,0.0001010279594877,0.000546346930972,12,4.190341649164179e-05,0.0001322404994351
2013_5,2013,5,2013-05-01,76,16.0,9.525321479599936e-05,0.0004983154603322,12,6.706746288197659e-05,0.0001942371740377
2013_6,2013,6,2013-06-01,77,14.0,9.052641108043272e-05,0.000424541301855,12,4.81904403585514e-05,0.0001179881751802
2013_7,2013,7,2013-07-01,78,14.0,9.525321479599936e-05,0.0003818053100564,14,3.964380500308173e-05,8.878832544621234e-05
2013_8,2013,8,2013-08-01,79,17.0,9.128529698149952e-05,0.0004625544942368,13,7.29790051786421e-05,0.0001983175389564
2013_9,2013,9,2013-09-01,80,11.0,6.942837306179126e-05,0.0002796958634073,14,3.936282169122161e-05,9.388465857518717e-05
2013_10,2013,10,2013-10-01,81,15.0,7.069635913750442e-05,0.0003736117525269,14,2.681129819831308e-05,0.0001188742746787
2013_11,2013,11,2013-11-01,82,14.0,0.0001425923285327,0.0004586502723407,15,3.222303853685939e-05,0.0001157517097079
2013_12,2013,12,2013-12-01,83,16.0,7.550018875047188e-05,0.0004127272297594,15,3.465351206683242e-05,0.0001117750044869
2014_1,2014,1,2014-01-01,84,14.0,7.614986293024673e-05,0.0003951831400585,15,3.830525636233619e-05,0.0001278852059518
2014_2,2014,2,2014-02-01,85,16.0,7.167174341515857e-05,0.0004213197511252,15,4.67709894964753e-05,0.0001612563321447
2014_3,2014,3,2014-03-01,86,14.0,0.0001041341247526,0.0004011383277397,11,4.8732436602929896e-05,0.0001219092815505
2014_4,2014,4,2014-04-01,87,13.0,6.958135219761104e-05,0.0002898752289711,12,4.536396899323921e-05,0.0001129173833203
2014_5,2014,5,2014-05-01,88,16.0,0.0001522997258604,0.0005054965358031,16,3.1170385653136936e-05,0.0001268540208877
2014_6,2014,6,2014-06-01,89,12.0,0.0001308472358521,0.0004102925675044,12,7.4509369338756e-05,0.0002353779115571
2014_7,2014,7,2014-07-01,90,13.0,0.0001402327864254,0.0003986061067948,13,4.320225294436687e-05,0.0001451689430956
2014_8,2014,8,2014-08-01,91,13.0,0.0001070778455937,0.0004073745730775,14,5.422798024771731e-05,0.0001656458300152
2014_9,2014,9,2014-09-01,92,13.0,0.0001041341247526,0.0003907716121414,12,4.002331985587879e-05,0.0001059193089994
2014_10,2014,10,2014-10-01,93,15.0,9.057853806239568e-05,0.0004184326601266,14,5.782121111286302e-05,0.0002403649541733
2014_11,2014,11,2014-11-01,94,14.0,0.0001402327864254,0.0005592534472511,15,5.2023004361922505e-05,0.0002037578984575
2014_12,2014,12,2014-12-01,95,15.0,0.0001135589370883,0.0004380956028425,10,4.919864840992968e-05,0.0001008632127905
2015_1,2015,1,2015-01-01,96,15.0,0.0001281435207432,0.0004945516370307,14,5.99759849083713e-05,0.0001490713814324
2015_2,2015,2,2015-02-01,97,17.0,0.0001002004008016,0.0004634449204318,13,4.5049715680154295e-05,0.0001196556820765
2015_3,2015,3,2015-03-01,98,13.0,7.240343192267313e-05,0.0003500809227155,15,4.627201503974664e-05,0.0001713457092036
2015_4,2015,4,2015-04-01,99,16.0,0.0001037048559798,0.0005770882749547,17,5.057818751109696e-05,0.0002036891964472
2015_5,2015,5,2015-05-01,100,14.0,9.49480342105071e-05,0.0004006638669246,13,6.247630441627732e-05,0.0001753707739294
2015_6,2015,6,2015-06-01,101,14.0,9.55201069825198e-05,0.0003927078188946,13,4.962562394135461e-05,0.0001317225284102
2015_7,2015,7,2015-07-01,102,14.0,0.0001002004008016,0.0005118839323137,12,5.041986285014756e-05,0.0001279823014975
2015_8,2015,8,2015-08-01,103,16.0,0.0002093802345058,0.0005954886026389,13,4.049536222362274e-05,0.0001173066134928
