month_index,month_label,year,month,filtration_type,homology_dimension,dimension,pair_id_within_month_dimension,birth,death,persistence,finite,birth_internal,death_internal,persistence_internal,c_hat,band,significant,persistence_over_band
132,2018_1,2018,1,superlevel,1,1,11,1.9370366245199782e-05,0.0,1.9370366245199782e-05,True,-1.9370366245199782e-05,-0.0,1.9370366245199782e-05,9.855906136032683e-05,0.00019711812272065366,False,0.09826781007168242
132,2018_1,2018,1,superlevel,1,1,12,0.0001224469804574,0.0,0.0001224469804574,True,-0.0001224469804574,-0.0,0.0001224469804574,9.855906136032683e-05,0.00019711812272065366,False,0.6211858086276825
133,2018_2,2018,2,superlevel,1,1,0,2.8245396000451927e-05,1.5850372483753367e-05,1.239502351669856e-05,True,-2.8245396000451927e-05,-1.5850372483753367e-05,1.239502351669856e-05,9.425610345712443e-05,0.00018851220691424886,False,0.06575183495855445
133,2018_2,2018,2,superlevel,1,1,1,2.4102919466120335e-05,1.2695349693407304e-05,1.140756977271303e-05,True,-2.4102919466120335e-05,-1.2695349693407304e-05,1.140756977271303e-05,9.425610345712443e-05,0.00018851220691424886,False,0.06051369277058089
133,2018_2,2018,2,superlevel,1,1,2,1.7017800619447942e-05,6.420669418993624e-06,1.0597131200454318e-05,True,-1.7017800619447942e-05,-6.420669418993624e-06,1.0597131200454318e-05,9.425610345712443e-05,0.00018851220691424886,False,0.0562145623029854
133,2018_2,2018,2,superlevel,1,1,3,1.9281568748433373e-05,0.0,1.9281568748433373e-05,True,-1.9281568748433373e-05,-0.0,1.9281568748433373e-05,9.425610345712443e-05,0.00018851220691424886,False,0.10228286573083432
133,2018_2,2018,2,superlevel,1,1,4,1.6571381224625074e-05,0.0,1.6571381224625074e-05,True,-1.6571381224625074e-05,-0.0,1.6571381224625074e-05,9.425610345712443e-05,0.00018851220691424886,False,0.08790614409475947
133,2018_2,2018,2,superlevel,1,1,5,2.9920741530461676e-05,0.0,2.9920741530461676e-05,True,-2.9920741530461676e-05,-0.0,2.9920741530461676e-05,9.425610345712443e-05,0.00018851220691424886,False,0.15872044585458667
133,2018_2,2018,2,superlevel,1,1,6,1.6571381224625074e-05,0.0,1.6571381224625074e-05,True,-1.6571381224625074e-05,-0.0,1.6571381224625074e-05,9.425610345712443e-05,0.00018851220691424886,False,0.08790614409475947
133,2018_2,2018,2,superlevel,1,1,7,2.5853488281906435e-05,0.0,2.5853488281906435e-05,True,-2.5853488281906435e-05,-0.0,2.5853488281906435e-05,9.425610345712443e-05,0.00018851220691424886,False,0.13714490273654675
133,2018_2,2018,2,superlevel,1,1,8,2.901255760201541e-05,0.0,2.901255760201541e-05,True,-2.901255760201541e-05,-0.0,2.901255760201541e-05,9.425610345712443e-05,0.00018851220691424886,False,0.15390280596106304
133,2018_2,2018,2,superlevel,1,1,9,2.158894645941278e-05,0.0,2.158894645941278e-05,True,-2.158894645941278e-05,-0.0,2.158894645941278e-05,9.425610345712443e-05,0.00018851220691424886,False,0.11452280365712995
133,2018_2,2018,2,superlevel,1,1,10,1.702968273701061e-05,0.0,1.702968273701061e-05,True,-1.702968273701061e-05,-0.0,1.702968273701061e-05,9.425610345712443e-05,0.00018851220691424886,False,0.0903372944159374
133,2018_2,2018,2,superlevel,1,1,11,1.9460742816553307e-05,0.0,1.9460742816553307e-05,True,-1.9460742816553307e-05,-0.0,1.9460742816553307e-05,9.425610345712443e-05,0.00018851220691424886,False,0.10323332974084634
133,2018_2,2018,2,superlevel,1,1,12,0.0001460867024579,0.0,0.0001460867024579,True,-0.0001460867024579,-0.0,0.0001460867024579,9.425610345712443e-05,0.00018851220691424886,False,0.774945584952769
134,2018_3,2018,3,superlevel,1,1,0,3.472825143254037e-05,2.905287623474724e-05,5.675375197793132e-06,True,-3.472825143254037e-05,-2.905287623474724e-05,5.675375197793132e-06,0.0001084721223556538,0.0002169442447113076,False,0.02616052435659437
