date,month_label,month_index,year,month,source,h1_point_count,max_h1_persistence,top_ranked_total_persistence
2021-09-01,2021_9,176,2021,9,observed,17,0.00013935340022296544,0.0004988610702546322
2021-10-01,2021_10,177,2021,10,observed,13,0.00016440833550261,0.0005526847281236287
2021-11-01,2021_11,178,2021,11,observed,12,0.00011872254541137362,0.0004716726148681214
2021-12-01,2021_12,179,2021,12,observed,14,0.0001144269498352252,0.0004911038365733827
2022-01-01,2022_1,180,2022,1,observed,13,0.00015237778608929338,0.0005048776106509102
2022-02-01,2022_2,181,2022,2,observed,15,0.00010605953475217422,0.00039157437803442907
2022-03-01,2022_3,182,2022,3,observed,14,0.00015237778608929338,0.0005274978384820967
2022-04-01,2022_4,183,2022,4,observed,15,0.0001151383963524156,0.00037886740043594896
2022-05-01,2022_5,184,2022,5,observed,13,0.00015902043412578516,0.00038002889751229466
2022-06-01,2022_6,185,2022,6,observed,16,0.00015902043412578516,0.0005906150818772711
2022-07-01,2022_7,186,2022,7,observed,15,0.00016623031209741097,0.0006199628032607532
2022-08-01,2022_8,187,2022,8,observed,15,0.0004770613023773555,0.0009930450174861728
2022-09-01,2022_9,188,2022,9,observed,14,0.00012467273407305821,0.0004470394522642887
2022-10-01,2022_10,189,2022,10,observed,16,0.00014567172875924104,0.0005724552178087371
2022-11-01,2022_11,190,2022,11,observed,15,0.000136605801193024,0.00047446265127212926
2022-12-01,2022_12,191,2022,12,observed,14,0.0003187468694503893,0.0006556803134514403
2023-01-01,2023_1,192,2023,1,observed,16,9.251977610214184e-05,0.0005938221568791862
2023-02-01,2023_2,193,2023,2,observed,14,0.00014814266138291174,0.0007443623058631401
2023-03-01,2023_3,194,2023,3,observed,14,0.00011421522717408685,0.0006820779404588101
2023-04-01,2023_4,195,2023,4,observed,13,0.0001111069960371838,0.000556448149736651
2023-05-01,2023_5,196,2023,5,observed,13,0.00018063332823854716,0.000614772561028786
2023-06-01,2023_6,197,2023,6,observed,14,0.0001379976540398813,0.0005184075032617168
2023-07-01,2023_7,198,2023,7,observed,13,0.00010900766687257003,0.0005181909956385255
2023-08-01,2023_8,199,2023,8,observed,14,0.00010457379642096182,0.0006492833681469936
2023-09-01,2023_9,200,2023,9,observed,17,0.000160333493666827,0.0006509791601447474
2023-10-01,2023_10,201,2023,10,observed,12,0.0001250538426266865,0.0005877528833454896
2023-11-01,2023_11,202,2023,11,observed,16,0.00014534355583009339,0.0004853358647845992
2023-12-01,2023_12,203,2023,12,observed,15,9.18822070106124e-05,0.000558137172186604
