predicted,lower_50,upper_50,lower_80,upper_80,lower_90,upper_90,lower_95,upper_95,model,target,train_end,holdout_year,horizon,date,observed
2.5686043320522443e-05,1.658649714977112e-05,3.5375061109142526e-05,1.4086383267185301e-05,4.051433885514954e-05,1.346024637808651e-05,4.3093091191525674e-05,1.273616929990577e-05,4.481187913503531e-05,mean_residual_bootstrap,statewide_rate,2022-12-01,2023,5,2023-05-01,3.3429676983624976e-05
2.5686043320522443e-05,1.6611614737201658e-05,3.5375061109142526e-05,1.4086383267185301e-05,4.001168898608222e-05,1.3720767275726894e-05,4.3093091191525674e-05,1.3010786115166622e-05,4.481187913503531e-05,mean_residual_bootstrap,statewide_rate,2022-12-01,2023,6,2023-06-01,3.2666054920547245e-05
2.5686043320522443e-05,1.6325976252130734e-05,3.484421780651986e-05,1.4086383267185301e-05,4.051433885514954e-05,1.3357740411571065e-05,4.3093091191525674e-05,1.273616929990577e-05,4.481187913503531e-05,mean_residual_bootstrap,statewide_rate,2022-12-01,2023,7,2023-07-01,3.444783973439528e-05
2.5686043320522443e-05,1.6611614737201658e-05,3.5375061109142526e-05,1.4086383267185301e-05,3.995583900063035e-05,1.346024637808651e-05,4.260861265150246e-05,1.273616929990577e-05,4.481187913503531e-05,mean_residual_bootstrap,statewide_rate,2022-12-01,2023,8,2023-08-01,3.241151423285467e-05
2.5686043320522443e-05,1.658649714977112e-05,3.542885699048642e-05,1.4138387578481063e-05,3.995583900063035e-05,1.346024637808651e-05,4.260861265150246e-05,1.3010786115166622e-05,4.481187913503531e-05,mean_residual_bootstrap,statewide_rate,2022-12-01,2023,9,2023-09-01,2.876309770926108e-05
2.5686043320522443e-05,1.6325976252130734e-05,3.4354626654071106e-05,1.4086383267185301e-05,3.935325684748794e-05,1.3707741230844879e-05,4.2498117545883304e-05,1.273616929990577e-05,4.481187913503531e-05,mean_residual_bootstrap,statewide_rate,2022-12-01,2023,10,2023-10-01,2.732070047900315e-05
2.5686043320522443e-05,1.6325976252130734e-05,3.542885699048642e-05,1.4138387578481063e-05,4.096818531423151e-05,1.346024637808651e-05,4.3093091191525674e-05,1.3010786115166622e-05,4.481187913503531e-05,mean_residual_bootstrap,statewide_rate,2022-12-01,2023,11,2023-11-01,2.553891566515512e-05
2.5686043320522443e-05,1.6611614737201658e-05,3.5375061109142526e-05,1.4086383267185301e-05,3.980249036480702e-05,1.3357740411571065e-05,4.2583113780975075e-05,1.273616929990577e-05,4.481187913503531e-05,mean_residual_bootstrap,statewide_rate,2022-12-01,2023,12,2023-12-01,2.5284374977462543e-05
4.1157523021213896e-05,3.942714648608872e-05,4.289432900548312e-05,3.751292768487199e-05,4.459131744732427e-05,3.6652722561350265e-05,4.5907843222484966e-05,3.598306708768648e-05,4.7717436886989026e-05,naive_residual_bootstrap,statewide_rate,2022-12-01,2023,1,2023-01-01,3.207212664926457e-05
4.1157523021213896e-05,3.8501937066754395e-05,4.362266854324633e-05,3.642093649554987e-05,4.6329554955832905e-05,3.515380510279209e-05,4.811908742259023e-05,3.4195550538527995e-05,4.9992678107814385e-05,naive_residual_bootstrap,statewide_rate,2022-12-01,2023,2,2023-02-01,3.3769064567215074e-05
4.1157523021213896e-05,3.78613905253789e-05,4.4253356923201116e-05,3.547104066349495e-05,4.779388023848113e-05,3.391885943924232e-05,4.9924090967286755e-05,3.2398589874623346e-05,5.248347337947289e-05,naive_residual_bootstrap,statewide_rate,2022-12-01,2023,3,2023-03-01,3.325998319182992e-05
4.1157523021213896e-05,3.7365827898166654e-05,4.500000707392924e-05,3.451446707235154e-05,4.929680516451401e-05,3.268484380980245e-05,5.158700824159385e-05,3.1185339123340575e-05,5.4624490805469885e-05,naive_residual_bootstrap,statewide_rate,2022-12-01,2023,4,2023-04-01,3.648416523593589e-05
4.1157523021213896e-05,3.734163599790032e-05,4.571737646043421e-05,3.381586760763817e-05,5.06627785943635e-05,3.149902995252885e-05,5.392722926868286e-05,2.9710951446940387e-05,5.657608203905541e-05,naive_residual_bootstrap,statewide_rate,2022-12-01,2023,5,2023-05-01,3.3429676983624976e-05
4.1157523021213896e-05,3.699299783683542e-05,4.644747000097316e-05,3.2845977070629186e-05,5.163508712098997e-05,3.0743447364355664e-05,5.480081318248374e-05,2.8662291962135015e-05,5.789554695577637e-05,naive_residual_bootstrap,statewide_rate,2022-12-01,2023,6,2023-06-01,3.2666054920547245e-05
4.1157523021213896e-05,3.669564731630836e-05,4.703922637090262e-05,3.2617613346601626e-05,5.259526019995891e-05,2.9796119097251762e-05,5.6097991416992144e-05,2.7541994530743467e-05,5.892637200672536e-05,naive_residual_bootstrap,statewide_rate,2022-12-01,2023,7,2023-07-01,3.444783973439528e-05
4.1157523021213896e-05,3.638844772852017e-05,4.7423314682656265e-05,3.200152502796794e-05,5.333091916372157e-05,2.8804609011613482e-05,5.683781077979133e-05,2.689238049224973e-05,6.0184164867825255e-05,naive_residual_bootstrap,statewide_rate,2022-12-01,2023,8,2023-08-01,3.241151423285467e-05
4.1157523021213896e-05,3.62927288496995e-05,4.783331542977437e-05,3.1181436559830907e-05,5.4140687175525324e-05,2.841123730056718e-05,5.7478401479983286e-05,2.618824669272299e-05,6.204773620825706e-05,naive_residual_bootstrap,statewide_rate,2022-12-01,2023,9,2023-09-01,2.876309770926108e-05
4.1157523021213896e-05,3.623386253268557e-05,4.827707797260217e-05,3.066774648122726e-05,5.494544190872021e-05,2.744575611911004e-05,5.90474465596141e-05,2.5159077377613093e-05,6.274319318006017e-05,naive_residual_bootstrap,statewide_rate,2022-12-01,2023,10,2023-10-01,2.732070047900315e-05
4.1157523021213896e-05,3.5875695141964774e-05,4.875311901459307e-05,3.0151274406456274e-05,5.552849194259349e-05,2.7090132542825266e-05,5.987031291301202e-05,2.439402421960207e-05,6.32714161100298e-05,naive_residual_bootstrap,statewide_rate,2022-12-01,2023,11,2023-11-01,2.553891566515512e-05
4.1157523021213896e-05,3.554424788539564e-05,4.922467073816819e-05,2.9855578354338848e-05,5.601124716358239e-05,2.6374382317029135e-05,6.106459863479097e-05,2.3888824536815814e-05,6.503625331564597e-05,naive_residual_bootstrap,statewide_rate,2022-12-01,2023,12,2023-12-01,2.5284374977462543e-05
4.129925673720357e-05,3.9448465168409236e-05,4.297697577834329e-05,3.774977555847357e-05,4.459131744732426e-05,3.6495831311939367e-05,4.61582468547993e-05,3.598306708768648e-05,4.802852188376669e-05,drift_residual_bootstrap,statewide_rate,2022-12-01,2023,1,2023-01-01,3.207212664926457e-05
4.144099045319325e-05,3.867338722100697e-05,4.3966032301051074e-05,3.6275219798754685e-05,4.6918434420503626e-05,3.479243634549315e-05,4.892757453211702e-05,3.354129768313339e-05,5.129643407281324e-05,drift_residual_bootstrap,statewide_rate,2022-12-01,2023,2,2023-02-01,3.3769064567215074e-05
4.158272416918293e-05,3.795000452934816e-05,4.4645476752788124e-05,3.5248552220769836e-05,4.840876521898849e-05,3.341984706204884e-05,5.110861281230774e-05,3.16891956596482e-05,5.478172205428707e-05,drift_residual_bootstrap,statewide_rate,2022-12-01,2023,3,2023-03-01,3.325998319182992e-05
4.172445788517261e-05,3.7458203530266506e-05,4.556963001007818e-05,3.418054960310571e-05,4.9724103856194505e-05,3.2066866151805296e-05,5.303011570372988e-05,3.0145802462827727e-05,5.6529227741369e-05,drift_residual_bootstrap,statewide_rate,2022-12-01,2023,4,2023-04-01,3.648416523593589e-05
4.1866191601162286e-05,3.7143155996248146e-05,4.6107887739627635e-05,3.324238460150946e-05,5.074181405866773e-05,3.0986731885594675e-05,5.4458463573404537e-05,2.9137586629816114e-05,5.812653432092504e-05,drift_residual_bootstrap,statewide_rate,2022-12-01,2023,5,2023-05-01,3.3429676983624976e-05
